picture_id,Exhibition_Name,Work_Name,Artist_Name
445,,,Hou Wenyi
446,,,Hou Wenyi
447,,,Zhai Wei
448,,,Zhai Wei
449,,,Yang Huangli
450,,,Zhang Long
451,,,Zhang Xiaping
452,,,Sun Shifan
453,,,Liu Quan
454,,,Cao li
455,,,Xia Xiaowan
456,,,Liang Yuan
457,,,Chen Qiang
458,,,
459,,,Li Baoying
460,,,Liu Changshun
461,,,Zhang Song
462,,,Zhu Haikun
463,,,Lin Chunyan
464,,,Zhang Yibo
465,,,Meng Luding
466,,,Chen Dan
467,,,Guan Wei
468,,,Zhao Hui
469,,,Chen Wenqi
470,,,Zhang Qun
471,,,Wang Youshen
472,,,Wu Shaoxiang
473,,,Jia Bo
474,,,Sun Jianping
475,,,Li Jin
476,,,Li Jin
477,,,Li Jin
478,,,Yan Binghui
479,,,Yan Binghui
480,,,Yan Binghui
481,,,Yan Binghui
482,,,Yan Binghui
483,,the last radiance of the setting sun,Lv Peihuan
484,,,Lv Peihuan
485,,,
486,,,
487,,,
488,,,
489,,,Fan Bo
490,,,Fan Bo
491,,,Fu Zenan
492,,,Fu Zenan
493,,,Fu Zenan
494,,,Fu Zenan
495,,,Fu Zenan
496,,,Fu Zewu
497,,,Fu Zewu
498,,,Le Xiaoshi
499,,,Ma Baokang
500,,,Ma Xiaoxing
501,,,Ma Xiaoxing
502,,,Ma Xiaoxing
503,,,Pi Zhiwei
504,,,Shao Pusheng
505,,,Shao Pusheng
506,,,Shao Pusheng
507,,,Shao Pusheng
508,,,Shao Xianlan
509,,,Shao Xianlan
510,,,Shi Xiaojun
511,,,Tang Tao
512,,,Wang Aiqin
513,,,Wang Aiqin
514,,,Wang Aiqin
515,,,Wang Dun
516,,,Xia Funing
517,,,Yang Wenqun
518,,,Zhu Shaoqiang
519,,,Zhu Shaoqiang
520,,,Zhu Shaoqiang
521,"""The Xuzhou Modern Art Exhibition"",1986",,
522,"""The Xuzhou Modern Art Exhibition"",1986",,
523,"""The Xuzhou Modern Art Exhibition"",1986",,
524,"""The Xuzhou Modern Art Exhibition"",1986",,
525,"""The Xuzhou Modern Art Exhibition"",1986",,
526,"""The Xuzhou Modern Art Exhibition"",1986",,
527,,,Wu Pingren
528,,,Wu Pingren
529,,,Qu Yan
530,,,Qu Yan
531,,,Qu Yan
532,,,Qu Yan
533,,,Qu Yan
534,,,Li Yafei
535,,,Li Yafei
536,,,Li Yafei
537,,,Wang Lu
538,,,Wang Lu
539,,,Wang Lu
540,,,Wang Lu
541,,,Wang Lu
542,,,Wang Lu
543,,,Weng Jianqing
544,,,Weng Jianqing
545,,,Yuan Xianming
546,,,Yuan Xianming
547,,,Shi Dihua
548,,,Shi Dihua
549,,,Shi Dihua
550,,,Gao Tianming
551,,,Gao Tianming
552,,,Gao Tianming
553,,,Gao Tianming
554,,,Wang Chuan
