123,"Xu Lei,Reduction of Reality:Fission, ink,1986",Work,,Reduction of Reality:Fission,ink,Xu Lei,,1987,149
124,"Xu Yihui,Dinner(2),oil on canvas,1986",Work,,Dinner(2),oil on canvas,Xu Yihui,,1986,149
125,"Xu Lei,Watcher, propylene on xuan paper,1985",Work,,Watcher,propylene on xuan paper,Xu Lei,,1985,160
126,"Xu Lei,People of Misjudgement,propylene on xuan paper,1985",Work,,People of Misjudgement,propylene on xuan paper,Xu Lei,,1985,160
127,"Red,Journey, ""First Posthouse Painting Exhibition"" Academic Conference Scence, From left to right:Yang Zhiling, Chen Dali,Shen Xingong, Ding Fang, Guan Ce, Liu Ming, Cao Xiaodong, Yu Qiping? Chai Xiaogang, Su Xianting? Fang Jun, Liu Wei,1987.5.20",Document,,,,"Yang Zhiling, Chen Dali,Shen Xingong, Ding Fang, Guan Ce, Liu Ming, Cao Xiaodong, Yu Qiping? Chai Xiaogang, Su Xianting? Fang Jun, Liu Wei",,1987.5.20,161
128,"Xu Lei,Portrait 1, ink, 1986",Work,,Portrait 1,,Xu Lei,,1986,162
129,"Xu Lei,Portrait 2, ink, 1986",Work,,Portrait 2,,Xu Lei,,1986,162
130,"Xu Lei,Portrait 3, ink, 1986",Work,,Portrait 3,,Xu Lei,,1987,163
131,"Ding Fang, City Series 2, oil on canvas, 1984",Work,,City Series 2,,Ding Fang,,1984,165
132,"Ding Fang, City Series 3, oil on canvas, 1984",Work,,City Series 3,,Ding Fang,,1984,166
133,"Ding Fang, City Series 4, oil on canvas, 1984",Work,,City Series 4,,Ding Fang,,1984,166
134,"Ding Fang, The Sword's Will 1, oil on canvas, 1986",Work,,The Sword's Will 1,,Ding Fang,,1986,167
135,"Ding Fang, The Sword's Will 2, oil on canvas, 1986",Work,,The Sword's Will 2,,Ding Fang,,1986,167
136,"Ding Fang, The Sword's Will 3, oil on canvas, 1986",Work,,The Sword's Will 3,,Ding Fang,,1986,168
137,"Ding Fang, Self-sublimation, oil on canvas, 1986",Work,,Self-sublimation,,Ding Fang,,1986,168
138,"Ding Fang, Will and Sacrifice, oil on canvas, 1986",Work,,Will and Sacrifice,,Ding Fang,,1986,169
139,"Ding Fang, Call and Birth , oil on canvas, 1986",Work,,Call and Birth,,Ding Fang,,1986,169
140,"Ding Fang, The Power of Tragedy, oil on canvas, 1986",Work,,The Power of Tragedy,,Ding Fang,,1986,169
141,"Ding Fang, The Soul on Plateau, oil on canvas, 1986",Work,,The Soul on Plateau,,Ding Fang,,1986,170
142,"Ding Fang, Facing Top of Taihang Eighteen Hairpin Bends, sketch, 1983 ",Work,,Facing Top of Taihang Eighteen Hairpin Bends,,Ding Fang,,1983,170
143,"Ding Fang? Portrait of people, sketch, 1984",Work,,Portrait of people,,Ding Fang,,1984,171
144,"Ding Fang?Landscape 1, sketch, 1984",Work,,Landscape 1,,Ding Fang,,1984,171
145,"Ding Fang, Landscape 2, sketch, 1984",Work,,Landscape 2,,Ding Fang,,1984,172
146,"Ding Fang, Landscape , sketch, 1984",Work,,Landscape,,Ding Fang,,1984,172
147,"Yang Zhilin, Monster at Night 1, composite materials, 1986",Work,,Monster at Night 1,,Yang Zhilin,,1986,173
148,"Yang Zhilin, Monster at Night 2, composite materials, 1986",Work,,Monster at Night 2,,Yang Zhilin,,1986,174
149,"Yang Zhilin, The Other Side, composite materials, 1986",Work,,The Other Side,,Yang Zhilin,,1986,174
150,"Yang Zhilin, Constellation, composite materials, 1986",Work,,Constellation,,Yang Zhilin,,1986,175
151,"Shen Qin, Words of Silk 1, propylene, 1985",Work,,Words of Silk 1,,Shen Qin,,1985,175
152,"Shen Qin, Words of Silk 2, propylene, 1985",Work,,Words of Silk 2,,Shen Qin,,1985,176
153,"Shen Qin, Mountain 4, ink, 1986",Work,,Mountain 4,,Shen Qin,,1986,176
154,"Shen Qin, Mountain 5, ink, 1986",Work,,Mountain 5,,Shen Qin,,1986,177
155,"Chai Xiaogang, Floating Stone 1, oil on canvas, 1986",Work,,Floating Stone 1,,Chai Xiaogang,,1986,177
156,"Chai Xiaogang, Floating Stone 2, oil on canvas, 1986",Work,,Floating Stone 2,,Chai Xiaogang,,1986,178
157,"Chai Xiaogang, City of the Dead, oil on canvas, 1986",Work,,City of the Dead,,Chai Xiaogang,,1986,178
